CAMERA_NAME,CAMERA_IP,ID,IN_TIME,OUT_TIME
xerago,10.22.18.80,0,10:43:14,10:43:51
xerago,10.22.18.80,0,10:45:36,10:46:00
xerago,10.22.18.80,0,10:47:34,10:48:15
xerago,10.22.18.80,0,10:48:40,10:48:58
xerago,10.22.18.80,1,10:48:59,10:49:26
xerago,10.22.18.80,1,10:49:44,10:49:54
xerago,10.22.18.80,17,10:58:17,10:58:27
xerago,10.22.18.80,5X5_3,10:58:12,10:58:34
xerago,10.22.18.80,1,10:58:36,10:59:03
xerago,10.22.18.80,5X5_3,10:58:35,10:59:04
xerago,10.22.18.80,1,11:03:34,11:04:28
xerago,10.22.18.80,17,11:04:37,11:04:47
xerago,10.22.18.80,5X5_3,11:04:35,11:05:06
xerago,10.22.18.80,0,14:32:39,14:32:51
xerago,10.22.18.80,5X5_70,14:32:49,14:33:02
xerago,10.22.18.80,0,14:36:24,14:36:35
xerago 1,10.22.18.80,0,14:47:24,14:47:34
xerago,10.22.18.80,0,14:47:21,14:47:35
xerago 1,10.22.18.80,17,15:13:37,15:13:47
xerago,10.22.18.80,0,15:14:11,15:14:30
xerago 1,10.22.18.80,0,15:14:09,15:14:32
